Unit,Description,Tag Name,Tag Type,Data Class
U_CARB_STATUS,Virtual carbonate unit. Used to verifythe status of the carbonates tanks.
U_CARB_T140,Carbonate tank T-140.
U_CARB_T141,Carbonate tank T-141.
U_CENT_X474,Centrifuge X-474
U_CENT_X475,Centrifuge X-475
U_CHEM_PUMPS,Cleaning chemical pumps P-469.1,P-469.2, P-469.3. Dependent unit per AFR201-I1-032.
U_CIP_1,Fermentation CIP Skid-1.
U_CIP_2,Fermentation CIP Skid-2.
U_CIP_5,Fermentation CIP Skid-5.
U_CLEAN_STEAM,Clean steam header.
U_DRAIN_U460,Pseudo unit. Media Exchange Skid U-460Drain.
U_DRAIN_WFI20,Fermentation WFI Loop-1 Drain.
U_DRAIN_WFI21,Fermentation WFI Loop-2 Drain.
U_F12K_T440,12000L Fermentor T-440.
U_F12K_T440N,12000L Fermentor T-440 CIP/SIP Ringmanifold (N-line).
U_F12K_T441,12000L Fermentor T-441.
U_F12K_T441N,12000L Fermentor T-441 CIP/SIP Ringmanifold (N-line).
U_F12K_T442,12000L Fermentor T-442.
U_F12K_T442N,12000L Fermentor T-442 CIP/SIP Ringmanifold (N-line).
U_F12K_T443,12000L Fermentor T-443.
U_F12K_T443N,12000L Fermentor T-443 CIP/SIP Ringmanifold (N-line).
U_F12K_T444,12000L Fermentor T-444.
U_F12K_T444N,12000L Fermentor T-444 CIP/SIP Ringmanifold (N-line).
U_F12K_T445,12000L Fermentor T-445.
U_F12K_T445N,12000L Fermentor T-445 CIP/SIP Ringmanifold (N-line).
U_F12K_T446,12000L Fermentor T-446.
U_F12K_T446N,12000L Fermentor T-446 CIP/SIP Ringmanifold (N-line).
U_F12K_T447,12000L Fermentor T-447.
U_F12K_T447N,12000L Fermentor T-447 CIP/SIP Ringmanifold (N-line).
U_F12K_T448,12000L Fermentor T-448.
U_F12K_T448N,12000L Fermentor T-448 CIP/SIP Ringmanifold (N-line).
U_F12K_T449,12000L Fermentor T-449.
U_F12K_T449N,12000L Fermentor T-449 CIP/SIP Ringmanifold (N-line).
U_F12K_T450,12000L Fermentor T-450.
U_F12K_T450N,12000L Fermentor T-450 CIP/SIP Ringmanifold (N-line).
U_F12K_T451,12000L Fermentor T-451.
U_F12K_T451N,12000L Fermentor T-451 CIP/SIP Ringmanifold (N-line).
U_F20L_T400,20L Fermentor T400
U_F20L_T400_1,20L Fermentor T400.1
U_F20L_T400_2,20L Fermentor T400.2
U_F20L_T400_3,20L Fermentor T400.3
U_F20L_T400_4,20L Fermentor T400.4
U_F20L_T401,20L Fermentor T401
U_F20L_T402,20L Fermentor T402
U_F20L_T403,20L Fermentor T403
U_F20L_T404,20L Fermentor T404
U_F20L_T405,20L Fermentor T405
U_F20L_T407,20L Fermentor T407
U_F20L_T408,20L Fermentor T408
U_F20L_T409,20L Fermentor T409
U_F20L_T7301,20L Fermentor T7301
U_F20L_T7302,20L Fermentor T7302
U_F20L_T7303,20L Fermentor T7303
U_F20L_T7304,20L Fermentor T7304
U_F20L_T7305,20L Fermentor T7305
